source_id,country_code,scope_code,data_type,authority,official_url,traffic_priority,notes
openholidays,ALL,ALL,public_and_school,OpenHolidays API,https://www.openholidaysapi.org/en/,reference,"Machine-readable aggregation used to build the CSV files; individual records are not manually verified."
de_kmk,DE,ALL,school_and_public,Standing Conference of the Ministers of Education and Cultural Affairs,https://www.kmk.org/service/ferienregelung.html,core,"Official school-holiday overview for all 16 German states; also links holiday information."
de_bavaria,DE,DE-BY,school_and_public,Bavarian State Ministry of Education and Cultural Affairs,https://www.km.bayern.de/termine/ferien-und-feiertage,core,"Directly relevant origin region and road location."
at_calendar,AT,ALL,school_and_public,Republic of Austria,https://www.oesterreich.gv.at/de/themen/bildung_und_ausbildung/schulen/3,core,"Official calendars distinguish Austria's federal states."
it_public,IT,ALL,public,Presidency of the Council of Ministers,https://presidenza.governo.it/ufficio_cerimoniale/cerimoniale/giornate.html,high,"National public holidays."
it_south_tyrol,IT,IT-TR-BZ,school,Autonomous Province of Bolzano,https://scuola-italiana.provincia.bz.it/it/scuola-carattere-statale/calendario-scolastico,high,"Northern Italy and Brenner-corridor region."
it_trentino,IT,IT-TR-TN,school,Autonomous Province of Trento,https://www.ufficiostampa.provincia.tn.it/Comunicati/Il-calendario-scolastico-2026-20272,high,"Northern Italy and Brenner-corridor region."
it_veneto,IT,IT-VE,school,Regione del Veneto,https://www.regione.veneto.it/web/formazione-e-istruzione/calendario_scolastico,high,"Large northern Italian source/destination region."
it_lombardy,IT,IT-LO,school,Regione Lombardia,https://www.regione.lombardia.it/istruzione-formazione-e-lavoro/formazione-professionale/calendario-scolastico-2026-2027,high,"Large northern Italian source/destination region."
si_school,SI,ALL,school,Government of Slovenia,https://www.gov.si/teme/solski-koledar-za-osnovne-sole/,high,"Official primary-school calendar."
si_public,SI,ALL,public,Government of Slovenia,https://www.gov.si/teme/drzavni-prazniki-in-dela-prosti-dnevi/,high,"Official public and work-free days."
hr_school,HR,ALL,school,Croatian Ministry of Science Education and Youth,https://mzom.gov.hr/vijesti/odluka-o-pocetku-i-zavrsetku-nastavne-godine-broju-radnih-dana-i-trajanju-odmora-ucenika-osnovnih-i-srednjih-skola-za-skolsku-godinu-2026-2027/7854,high,"Official 2026/2027 school-year decision."
hr_public,HR,ALL,public,Croatian Ministry of Foreign and European Affairs,https://mvep.gov.hr/predstavnistva-91496/blagdani-neradni-dani/174002,high,"Official list of Croatian public holidays."
nl_school,NL,ALL,school,Government of the Netherlands,https://www.government.nl/themes/education/school-holidays/overview-of-school-holiday-dates-per-academic-year,medium,"Official North/Central/South holiday regions through 2029/2030."
nl_public,NL,ALL,public,Government of the Netherlands,https://www.government.nl/faq/work/public-holidays-in-the-netherlands,medium,"Official public-holiday list."
be_french,BE,BE-FR,school,Federation Wallonia-Brussels,https://www.enseignement.be/calendrier-scolaire,medium,"French-community school calendar."
be_german,BE,BE-DE,school,Ministry of the German-speaking Community of Belgium,https://ostbelgienbildung.be/desktopdefault.aspx/tabid-2212/4397_read-31727/,medium,"German-community calendars through 2028/2029."
be_public,BE,ALL,public,Federal Public Service Employment Labour and Social Dialogue,https://employment.belgium.be/en/themes/international/posting/working-conditions-be-respected-case-posting-belgium/public-holidays,medium,"Belgium's ten statutory public holidays."
cz_school,CZ,ALL,school,Czech Ministry of Education Youth and Sports,https://msmt.gov.cz/vzdelavani/organizace-skolniho-roku-prazdniny,medium,"Official school-year organization and holidays."
pl_school,PL,ALL,school,Polish Ministry of National Education,https://www.gov.pl/web/edukacja/kalendarz-roku-szkolnego,medium,"Official school-year calendars and regional winter holidays."
hu_school,HU,ALL,school,Government of Hungary,https://kormany.hu/application/documents/8e849526-a71e-44a0-8f96-60e1166b4497/download,medium,"Official/draft regulation page available for the 2026/2027 school year; confirm final legal publication before production use."
sk_school,SK,ALL,school,Slovak Ministry of Education Research Development and Youth,https://www.minedu.sk/terminy-prazdnin/,medium,"Official holiday schedules."
ch_school,CH,ALL,school,Swiss Conference of Cantonal Ministers of Education,https://edk.ch/de/bildungssystem/kantonale-schulorganisation/Schulferien,medium,"Cantonal calendars; some 2028 dates are provisional."
ch_public,CH,ALL,public,Swiss State Secretariat for Economic Affairs,https://www.seco.admin.ch/de/faq-freizeit-und-feiertage,medium,"Only 1 August is federal; other public holidays are cantonal."
rs_school,RS,ALL,school,Serbian Ministry of Education,https://prosveta.gov.rs/skolski-kalendar/,secondary,"Official school calendars; Vojvodina may differ."
ro_school,RO,ALL,school,Romanian Ministry of Education and Research,https://www.edu.ro/press_rel_10_2026,secondary,"Official 2026/2027 school-year structure."
bg_school,BG,ALL,school,Bulgarian Ministry of Education and Science,https://www.mon.bg/,secondary,"Check the ministry's current school-year orders for updates."
